name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Hobbs, NM Micro Area",26020,68015,73733,44215,11507,2772,3309,3619,2823,170,258
"Holland, MI Micro Area",26090,83283,121456,84097,25764,4210,7345,15195,5908,999,722
"Homosassa Springs, FL Metro Area",26140,56546,162472,129981,41145,8724,12893,17051,6787,1967,992
"Hood River, OR Micro Area",26220,88947,23905,16924,2453,523,1258,4126,1806,744,260
"Hot Springs, AR Metro Area",26300,57181,100035,73124,19007,3668,7741,11844,5015,1000,663
"Houghton, MI Micro Area",26340,58128,39826,23690,5890,695,1964,4934,2556,300,1102
"Houma-Bayou Cane-Thibodaux, LA Metro Area",26380,64038,202438,136821,43421,11084,9225,18030,6252,1738,1147
"Houston-Pasadena-The Woodlands, TX Metro Area",26420,82168,7442788,4837926,901251,193144,360542,1080098,465149,113140,84057
"Hudson, NY Micro Area",26460,81528,61100,47481,10495,2429,6011,9073,6830,1877,914
"Huntingdon, PA Micro Area",26500,65557,43653,31749,13840,2027,3016,3917,1580,214,392
"Huntington, IN Micro Area",26540,66301,36798,25406,9396,1845,2624,3541,1316,393,151
"Huntington-Ashland, WV-KY-OH Metro Area",26580,60078,370729,259495,79479,14226,27272,35284,18175,4206,3216
"Huntsville, AL Metro Area",26620,85989,516951,357065,59257,14899,28423,91131,48806,6248,6881
"Huntsville, TX Micro Area",26660,52324,80209,53973,12280,6004,4116,7856,2923,225,638
"Huron, SD Micro Area",26700,67681,19309,12450,3283,704,1658,2361,750,40,231
"Hutchinson, KS Micro Area",26740,60645,61553,42501,10745,2525,5153,5762,2342,398,168
"Hutchinson, MN Micro Area",26780,80084,36798,25777,8205,849,4127,3568,1171,342,124
"Idaho Falls, ID Metro Area",26820,80291,165361,101410,19824,5076,11948,22311,6939,1553,1362
"Indiana, PA Micro Area",26860,60208,83042,54359,19562,2439,5524,8550,4475,710,936
