name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",34980,85447,2079596,1415949,302284,57283,103704,368250,149100,35406,26719
"Natchez, MS-LA Micro Area",35020,42104,54045,37212,11147,2761,3089,4529,1902,285,185
"Natchitoches, LA Micro Area",35060,46292,36693,21896,6511,1380,1406,3401,1630,244,378
"New Bern, NC Micro Area",35100,64475,124304,86631,19891,4559,9754,14134,7130,1137,686
"Newberry, SC Micro Area",35140,61780,38435,26216,7458,1084,3298,3498,2083,258,214
"New Castle, IN Micro Area",35220,63150,48970,35221,11839,2943,3162,4016,1729,266,136
"New Haven, CT Metro Area",35300,88197,570598,399673,99923,12324,27645,86918,53387,15071,12633
"New Iberia, LA Micro Area",35340,56961,68599,45398,16389,2949,3513,4813,1601,186,135
"New Orleans-Metairie, LA Metro Area",35380,62655,981662,688306,150518,27979,48343,136392,60394,21752,11631
"New Philadelphia-Dover, OH Micro Area",35420,65044,92385,63934,25805,2577,5335,8352,3528,455,324
"Newport, OR Micro Area",35440,63165,50964,39853,7554,1943,3828,6520,3486,714,694
"Newport, TN Micro Area",35460,48016,36813,26814,10537,2008,1668,1856,684,239,167
"New Ulm, MN Micro Area",35580,69378,25800,17816,5732,406,2266,2936,1043,278,102
"New York-Newark-Jersey City, NY-NJ Metro Area",35620,99155,19798537,13970100,2764627,432964,947318,3521236,1905883,483120,257795
"Niles, MI Metro Area",35660,65425,153288,108207,26266,4628,11607,20111,9846,2031,1494
"Nogales, AZ Micro Area",35700,55217,48926,31825,6636,1885,2691,4470,2187,452,256
"Norfolk, NE Micro Area",35740,65968,48653,32192,8446,1239,5684,5128,1772,318,428
"North Platte, NE Micro Area",35820,65430,34575,24081,6124,1249,3412,3734,1259,277,194
"North Port-Bradenton-Sarasota, FL Metro Area",35840,80859,889339,696273,155337,26589,66085,159527,75371,19198,12478
"North Wilkesboro, NC Micro Area",35900,51721,65935,47784,12705,2564,5914,5130,2197,406,330
"Norwalk, OH Micro Area",35940,67878,58319,39828,15544,2225,3943,4076,1804,488,277
"Norwich-New London-Willimantic, CT Metro Area",35980,86586,279971,198368,49430,8034,17552,39277,24622,3895,3229
"Oak Harbor, WA Micro Area",36020,90551,86836,64643,11918,2179,7244,14360,6981,1367,964
"Ocala, FL Metro Area",36100,61010,400078,299128,83865,17213,31442,44764,18684,4322,2148
"Ocean Pines, MD Micro Area",36180,81745,53700,40803,10400,1401,3370,8734,4295,697,667
"Odessa, TX Metro Area",36220,71536,164654,98717,24239,6271,7849,12012,4031,757,605
"Ogden, UT Metro Area",36260,101203,653374,403001,85488,12363,42711,93208,36590,5463,4382
"Oil City, PA Micro Area",36340,61522,49801,37096,14955,1954,3896,4560,2035,274,205
"Okeechobee, FL Micro Area",36380,57984,40816,28995,7786,2367,2361,3045,1206,259,78
"Oklahoma City, OK Metro Area",36420,72094,1463267,960506,207211,41746,77038,208680,82111,21467,14954
"Olean, NY Micro Area",36460,59540,76145,52793,17347,4184,6299,6003,4289,437,425
"Olympia-Lacey-Tumwater, WA Metro Area",36500,96563,299067,214184,37641,9427,23553,50643,23583,5143,3089
"Omaha, NE-IA Metro Area",36540,84829,982064,649299,126154,20561,60974,160678,67020,16635,10551
"Oneonta, NY Micro Area",36580,68885,60108,39271,10010,2258,4390,7419,4418,920,747
"Ontario, OR-ID Micro Area",36620,62568,58725,39184,10347,2976,4240,4456,1456,311,112
"Opelousas, LA Micro Area",36660,44462,81670,53184,18171,2980,4423,5180,1924,429,385
"Orangeburg, SC Micro Area",36700,45675,83253,56404,17231,2198,7461,5717,3925,761,528
"Orlando-Kissimmee-Sanford, FL Metro Area",36740,78533,2793746,1945965,411710,74280,220196,464646,181793,41786,25877
"Oshkosh-Neenah, WI Metro Area",36780,74925,171769,117593,31030,5407,14668,24968,8779,1602,1245
"Oskaloosa, IA Micro Area",36820,70940,22021,14642,4374,956,1988,2649,621,141,122
"Othello, WA Micro Area",36830,66136,20800,11369,2380,735,836,1174,460,92,60
"Ottawa, IL Micro Area",36837,72230,147181,104802,30950,5703,12065,14907,5413,940,588
"Ottawa, KS Micro Area",36840,77207,26106,17770,5656,802,1537,2785,1302,175,104
"Ottumwa, IA Micro Area",36900,64766,35362,24009,7957,1238,2895,2876,1383,337,112
"Owatonna, MN Micro Area",36940,84196,37439,25638,6806,1027,3152,5075,1544,402,147
"Owensboro, KY Metro Area",36980,68002,112762,75952,22143,4395,8606,11367,5866,1409,691
"Owosso, MI Micro Area",37020,67404,67991,48650,14542,1972,5883,6723,2388,260,358
"Oxford, MS Micro Area",37060,65018,70746,42792,7780,2447,3806,8824,5092,1491,1762
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",37100,109797,837469,580810,99140,12766,55793,129719,55090,14620,10442
"Ozark, AL Micro Area",37120,54963,49599,33641,8177,2220,3638,4563,1787,287,225
"Paducah, KY-IL Metro Area",37140,64160,102748,72988,20498,3888,8788,11152,5058,1366,458
"Pahrump, NV Micro Area",37220,60714,54344,42423,12384,2688,3796,3982,1332,158,191
"Palatka, FL Micro Area",37260,47934,75164,53876,16382,5193,4204,5499,1944,180,182
"Palestine, TX Micro Area",37300,62068,58439,42299,11227,5037,3606,4614,1373,297,227
"Palm Bay-Melbourne-Titusville, FL Metro Area",37340,78476,632780,474168,102304,19829,58068,96754,49059,8859,7552
"Pampa, TX Micro Area",37420,60317,21877,14552,3849,1354,1267,1931,363,44,47
"Panama City-Panama City Beach, FL Metro Area",37460,71514,211922,151625,35027,9413,17547,26481,11571,2148,1351
"Paragould, AR Micro Area",37500,57839,46432,31462,10802,2500,2421,3366,1456,266,228
"Paris, TN Micro Area",37540,50613,32412,23538,8905,1729,1282,2980,973,322,227
"Paris, TX Micro Area",37580,59020,62280,42984,12395,2707,4128,5753,2342,328,327
"Parkersburg-Vienna, WV Metro Area",37620,57391,88460,63615,19872,3284,6713,9407,4397,587,638
"Payson, AZ Micro Area",37740,61986,53795,40390,10658,2437,4015,4740,2053,495,278
"Pella, IA Micro Area",37800,78680,33642,22422,6751,814,2341,5022,1582,348,248
"Pensacola-Ferry Pass-Brent, FL Metro Area",37860,75967,524395,363168,79836,17053,42898,70744,29639,5887,4735
"Peoria, IL Metro Area",37900,71857,365202,251253,61942,11434,26931,51367,21315,3954,3334
"Peru, IN Micro Area",37940,61139,35712,25173,8288,2226,2501,2787,1065,140,53
"Petoskey, MI Micro Area",37950,78112,34125,25406,5480,486,2562,6068,3290,866,337
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,91289,6272014,4378944,1037564,136536,325441,1067549,549497,131383,99021
"Phoenix-Mesa-Chandler, AZ Metro Area",38060,88301,5028754,3446042,651198,132314,316972,755720,335267,75244,50579
"Picayune, MS Micro Area",38100,58135,57458,39335,10198,3692,4681,4818,1300,162,392
"Pierre, SD Micro Area",38180,81645,20679,14507,3055,1028,1745,3520,997,519,391
"Pikeville, KY Micro Area",38210,43214,91951,65658,20628,4103,5634,6080,3682,950,354
"Pine Bluff, AR Micro Area",38220,51605,72255,49729,17964,3154,2675,7068,2148,354,384
"Pinehurst-Southern Pines, NC Metro Area",38240,86080,104876,75766,13065,2432,9202,17681,9997,2051,1337
"Pittsburg, KS Micro Area",38260,52844,39008,23380,5342,981,2120,4829,2147,196,347
"Pittsburgh, PA Metro Area",38300,75762,2439940,1782509,495186,59415,189819,411403,192427,41274,35416
"Pittsfield, MA Metro Area",38340,76013,129430,96087,24267,3396,7540,20452,12362,2949,2625
"Plainview, TX Micro Area",38380,52707,37347,23608,6012,1376,1882,2361,1048,72,120
"Platteville, WI Micro Area",38420,66858,51770,32699,10412,1022,4542,5079,2505,431,352
"Plattsburgh, NY Micro Area",38460,71224,78493,54834,14005,3327,6647,8682,5031,661,735
"Plymouth, IN Micro Area",38500,71808,46284,31055,9950,1556,2890,4329,1770,281,122
"Pocatello, ID Metro Area",38540,66499,89454,57776,12597,2837,5935,11257,4036,1034,1376
"Ponca City, OK Micro Area",38620,58423,43625,28907,8157,1973,3610,3753,1450,217,141
"Ponce, PR Metro Area",38660,22247,270459,199183,55344,3169,23355,40605,10776,2000,2632
"Pontiac, IL Micro Area",38700,73790,35565,25134,8293,1511,2380,3267,1078,241,188
"Poplar Bluff, MO Micro Area",38740,49089,42020,28761,9663,1643,2669,2945,1094,171,328
"Port Angeles, WA Micro Area",38820,70370,77813,61116,12266,2928,7559,11720,5422,1298,845
"Portland-South Portland, ME Metro Area",38860,92175,562843,418921,84245,14885,41381,117277,52603,14038,8317
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,97436,2520987,1811458,290422,67753,158001,474690,207282,50132,38610
"Port Lavaca, TX Micro Area",38920,79959,19868,13846,3483,821,1678,1727,808,46,196
"Port St. Lucie, FL Metro Area",38940,74514,522676,390609,91075,17479,41287,75691,29314,7974,4369
"Portsmouth, OH Micro Area",39020,50609,72627,50649,19156,2927,3959,5878,2673,293,358
"Port Townsend, WA Micro Area",39040,74048,33577,28552,4619,1094,2157,6942,3799,962,839
"Pottsville, PA Micro Area",39060,68313,143558,104280,40033,6674,11575,13367,5821,933,616
"Prescott Valley-Prescott, AZ Metro Area",39150,69613,245480,192027,38126,8225,19889,34634,16650,3979,2833
"Price, UT Micro Area",39220,58377,20517,13558,3422,551,1947,1793,599,117,39
"Providence-Warwick, RI-MA Metro Area",39300,87040,1684071,1196324,281222,53105,100730,255278,121142,25758,20697
"Provo-Orem-Lehi, UT Metro Area",39340,100704,717986,371101,53217,9473,38172,112757,37787,6316,6113
"Pueblo, CO Metro Area",39380,64010,169356,118414,29202,6663,14330,19473,8630,1482,735
"Pullman, WA Micro Area",39420,55406,47003,24572,3323,547,2356,6734,3265,552,1680
"Punta Gorda, FL Metro Area",39460,69952,201064,167479,46351,8394,16938,27342,12969,3304,1681
"Putnam, CT Micro Area",39480,90589,96312,71710,21880,3362,7506,10316,6697,752,946
"Quincy, IL-MO Micro Area",39500,65360,74678,51300,16166,2013,4863,9140,3238,603,441
"Racine-Mount Pleasant, WI Metro Area",39540,78096,197532,136564,34760,6324,15731,26100,10090,1535,1122
"Raleigh-Cary, NC Metro Area",39580,100103,1487302,1011730,146847,26077,88570,312979,151880,26930,26419
"Rapid City, SD Metro Area",39660,75255,152950,107524,23398,5910,12496,23272,7883,2609,1812
"Raymondville, TX Micro Area",39700,54180,20139,13061,3566,976,775,1426,366,14,29
"Reading, PA Metro Area",39740,79777,433015,296613,95824,12595,27823,52005,22595,4287,3276
"Red Bluff, CA Micro Area",39780,63784,65167,44633,12134,1409,4434,6255,1658,566,131
"Redding, CA Metro Area",39820,72636,181436,128897,29444,4983,14910,20853,6723,2235,822
"Red Wing, MN Micro Area",39860,84171,47943,34018,10104,1452,4221,6581,2243,449,231
"Reno, NV Metro Area",39900,87485,563020,399423,80970,16903,34999,78960,34734,8831,6257
"Rexburg, ID Micro Area",39940,61940,68561,27889,4788,909,3733,6894,2227,249,493
"Rice Lake, WI Micro Area",39960,65933,46797,33522,9662,1794,5047,5119,1767,578,313
"Richmond, IN Micro Area",39980,55692,66397,45348,13305,2935,4219,5796,2241,681,556
"Richmond, VA Metro Area",40060,86679,1341248,937280,190157,37121,73624,233669,111607,23462,16578
"Richmond-Berea, KY Micro Area",40080,60368,125967,81762,20837,6208,6792,13716,7369,1091,1343
"Rifle, CO Micro Area",40090,95635,79464,55734,10176,1732,5093,14117,6071,1898,671
"Rio Grande City-Roma, TX Micro Area",40100,37639,66067,37199,7652,1521,1907,3309,1356,210,176
"Riverside-San Bernardino-Ontario, CA Metro Area",40140,89662,4675704,3071397,749025,95123,260399,481605,198138,43352,29911
"Riverton, WY Micro Area",40180,64904,39533,26654,6668,1756,2926,4293,2189,383,199
"Roanoke, VA Metro Area",40220,68761,314986,225813,60124,12002,20784,44474,18188,4551,3418
"Roanoke Rapids, NC Micro Area",40260,47104,64606,46910,14130,2782,4562,5142,2107,290,251
"Rochelle, IL Micro Area",40300,82132,51495,36064,10256,1892,4133,5838,2465,276,179
"Rochester, MN Metro Area",40340,91882,228522,156389,31182,3788,19533,39472,16971,6461,4343
"Rochester, NY Metro Area",40380,76284,1058413,744987,155098,32860,91817,157694,94186,17811,14536
"Rockford, IL Metro Area",40420,68033,336522,228907,56152,13449,22409,35582,16191,3760,1643
"Rockingham, NC Micro Area",40460,44883,42344,28881,7871,1327,3284,2991,1199,303,140
"Rock Springs, WY Micro Area",40540,75034,41542,27494,6403,2186,3647,4031,1255,309,152
"Rocky Mount, NC Metro Area",40580,59636,144952,101186,29656,6019,11016,14058,5187,1007,540
"Rolla, MO Micro Area",40620,58396,45194,28524,7100,1960,1751,4870,2913,630,815
"Rome, GA Metro Area",40660,65565,99693,66421,15794,3712,5105,9985,4699,1634,885
"Roseburg, OR Micro Area",40700,61310,112072,83392,20823,5545,9489,10216,4357,911,615
"Roswell, NM Micro Area",40740,52938,64217,41958,9252,3091,3873,4469,2206,508,329
"Ruidoso, NM Micro Area",40760,53303,20224,15872,3320,615,1918,2971,1652,258,225
"Russellville, AL Micro Area",40770,53338,31966,21249,7137,1101,1556,2116,1029,164,56
"Russellville, AR Micro Area",40780,57102,84265,55656,16664,3836,4034,8594,2844,446,500
"Ruston, LA Micro Area",40820,39172,48174,26490,6840,1134,1185,5299,3160,410,714
"Rutland, VT Micro Area",40860,68616,60425,45098,12968,1474,4285,9532,4649,1065,652
"Sacramento-Roseville-Folsom, CA Metro Area",40900,97188,2426388,1668679,295566,47405,162790,389624,150208,50550,28489
"Safford, AZ Micro Area",40940,67325,39232,25235,5852,2058,2731,2505,951,139,84
"Saginaw, MI Metro Area",40980,60622,188665,131086,36442,5642,14891,20475,8997,1666,844
"St. Cloud, MN Metro Area",41060,76497,202458,127269,32327,3170,18037,24146,8484,1705,1601
"St. George, UT Metro Area",41100,80632,196431,130298,24875,3741,15397,29167,11603,2741,2380
"St. Joseph, MO-KS Metro Area",41140,65005,120012,82835,26450,5402,5576,12998,5117,865,715
"St. Louis, MO-IL Metro Area",41180,80196,2810850,1967322,422099,76688,184131,447575,223733,44693,34934
"St. Marys, PA Micro Area",41260,66380,30506,22648,9699,1147,2796,2930,1361,207,166
"Salem, OH Micro Area",41400,58180,100704,73031,29299,2920,8198,8191,3577,364,333
"Salem, OR Metro Area",41420,78900,438906,294271,57528,16692,28335,51105,20807,4746,3049
"Salina, KS Micro Area",41460,65745,59487,40715,10676,1689,4203,7984,2570,719,537
"Salinas, CA Metro Area",41500,97230,437613,281390,48871,9876,21870,46903,21516,6481,4492
"Salisbury, MD Metro Area",41540,73802,129736,83919,26001,3524,7018,13897,6460,1346,1282
"Salt Lake City-Murray, UT Metro Area",41620,98083,1275870,822506,157960,26850,75539,199252,82648,18889,15114
"San Angelo, TX Metro Area",41660,68419,120986,79637,18392,4286,6922,13487,5012,975,836
"San Antonio-New Braunfels, TX Metro Area",41700,76213,2662733,1759605,362417,82944,150926,355335,156464,33405,23926
"San Diego-Chula Vista-Carlsbad, CA Metro Area",41740,106268,3288774,2281385,352558,55129,185338,593057,262772,66985,61827
"Sandpoint, ID Micro Area",41760,66979,51049,38336,9363,2074,3139,7195,2589,797,384
"Sandusky, OH Metro Area",41780,73502,114575,84488,25563,3001,8395,15847,6858,1191,784
"Sanford, NC Micro Area",41820,65387,65816,44766,10254,2313,5554,6326,2460,484,268
"San Francisco-Oakland-Fremont, CA Metro Area",41860,136027,4645029,3402905,443173,61637,224242,1023544,520481,135736,119017
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",41940,162111,1969337,1391615,168732,22617,89612,387279,278174,39915,66472
"San Juan-Bayamón-Caguas, PR Metro Area",41980,29276,2052186,1539382,370165,35668,188843,345524,102471,25271,23345
"San Luis Obispo-Paso Robles, CA Metro Area",42020,97446,281555,190352,29768,4609,20290,46055,19220,6696,3868
"Santa Cruz-Watsonville, CA Metro Area",42100,111093,264926,178903,23847,3386,15365,45302,21713,5975,5613
"Santa Fe, NM Metro Area",42140,79071,156105,120004,19414,4164,8316,26545,17968,5595,5175
"Santa Maria-Santa Barbara, CA Metro Area",42200,98161,443701,278364,41100,5902,23091,61162,26012,8321,6974
"Santa Rosa-Petaluma, CA Metro Area",42220,104674,485040,354661,58339,8406,32693,84877,34590,11803,5227
"Sault Ste. Marie, MI Micro Area",42300,62217,36295,25680,6822,2261,2205,3894,1567,250,271
"Savannah, GA Metro Area",42340,77180,418285,283053,58509,13097,23253,61469,28947,6283,4709
"Sayre, PA Micro Area",42380,63675,59858,42489,17764,2025,3873,5271,2635,523,308
"Scottsbluff, NE Micro Area",42420,63838,36585,24906,5610,1195,2539,4419,1717,366,261
"Scottsboro, AL Micro Area",42460,51908,53053,37972,11712,2559,3881,3747,1641,330,328
"Scranton--Wilkes-Barre, PA Metro Area",42540,65158,569788,404650,130482,16153,42551,66593,31635,6687,5037
"Seaford, DE Micro Area",42580,81497,255626,193708,51281,6473,17795,36534,19996,4175,3193
"Searcy, AR Micro Area",42620,55249,77838,51455,16871,3687,4209,6088,3251,487,651
"Seattle-Tacoma-Bellevue, WA Metro Area",42660,115177,4061920,2890014,447503,88498,262238,812767,405541,81071,65561
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",42680,73491,166936,131802,30586,5697,13410,26186,13274,3421,1704
"Sebring, FL Metro Area",42700,54897,105702,82181,23136,4973,7545,10671,4007,1395,741
"Sedalia, MO Micro Area",42740,60430,43397,28868,8940,1466,3280,3219,1543,356,198
"Selinsgrove, PA Micro Area",42780,66876,39668,26746,10386,1291,2358,3411,1593,287,226
"Selma, AL Micro Area",42820,35627,36858,25176,9273,1102,2902,2970,1162,111,159
"Seneca, SC Micro Area",42860,62388,80469,59158,13732,3776,6706,10258,5248,718,725
"Seneca Falls, NY Micro Area",42900,68089,32920,23742,5511,1714,2999,3740,1684,372,197
"Sevierville, TN Micro Area",42940,62581,99652,71666,20955,3868,6876,10314,3542,1329,461
"Seymour, IN Micro Area",42980,70262,46660,30885,9447,2558,2671,4450,1526,199,87
"Shawano, WI Micro Area",43020,66189,45291,32153,12777,1468,3930,4168,1634,179,133
"Shawnee, OK Micro Area",43060,61398,73463,49160,13895,3296,4071,6808,2490,439,311
"Sheboygan, WI Metro Area",43100,73094,117991,82942,24447,3427,9747,15087,6016,1018,663
"Shelby-Kings Mountain, NC Micro Area",43140,58534,100991,69701,19373,3758,9302,9715,4325,628,633
"Shelbyville, TN Micro Area",43180,67225,52237,34479,11198,2732,2106,4166,1321,309,125
"Shelton, WA Micro Area",43220,83270,67982,50192,11611,3320,6050,7133,2975,709,176
"Sheridan, WY Micro Area",43260,71388,32055,22866,5929,1310,2544,4488,1893,474,256
"Sherman-Denison, TX Metro Area",43300,72182,143337,96958,23869,6458,10513,15602,5422,979,1151
"Show Low, AZ Micro Area",43320,54606,108415,72679,19241,2952,6883,8471,4068,747,599
"Shreveport-Bossier City, LA Metro Area",43340,55925,386819,262802,68463,12642,21484,40806,20149,4697,2934
"Sidney, OH Micro Area",43380,73978,47929,32068,12101,1299,3782,4583,1819,194,257
"Sierra Vista-Douglas, AZ Metro Area",43420,59742,125566,89778,17188,4949,9678,15198,7612,1275,1138
"Sikeston, MO Micro Area",43460,59476,49835,33928,12216,2292,2130,4642,1942,193,107
"Silver City, NM Micro Area",43500,44958,27775,20577,4472,1017,1988,3416,2302,334,257
"Sioux City, IA-NE-SD Metro Area",43580,75192,144682,92926,25605,4124,10434,15102,5712,1346,664
"Sioux Falls, SD-MN Metro Area",43620,82754,298181,197444,42611,7192,24728,50306,15406,4035,2737
"Slidell-Mandeville-Covington, LA Metro Area",43640,81202,272421,187382,35777,8756,14027,45528,17460,4885,2710
"Snyder, TX Micro Area",43660,60039,16488,10993,2658,967,1329,1154,246,26,3
"Somerset, KY Micro Area",43700,51898,65897,46570,13240,4207,4537,4760,2758,618,298
"Somerset, PA Micro Area",43740,61446,72799,54558,24438,2553,5381,6336,2519,505,428
"Sonora, CA Micro Area",43760,77404,54498,41675,8522,1752,4220,6715,2595,714,232
"South Bend-Mishawaka, IN-MI Metro Area",43780,67217,324560,215929,54001,11114,19865,41159,18252,4436,4171
"Sparta, WI Micro Area",43890,69467,46208,31202,9822,1178,3749,4603,1491,363,204
"Spartanburg, SC Metro Area",43900,64382,374737,255018,70649,13471,26503,38546,18050,2868,2475
"Spearfish, SD Micro Area",43940,73384,27233,19838,4716,890,2201,4175,1573,513,272
"Spencer, IA Micro Area",43980,65428,16461,11452,2988,368,1859,2358,559,206,32
"Spirit Lake, IA Micro Area",44020,75432,17990,13520,3551,328,1793,3053,768,289,106
"Spokane-Spokane Valley, WA Metro Area",44060,77488,597123,416915,81476,21530,52654,85022,34432,8989,5708
"Springfield, IL Metro Area",44100,75895,207042,145260,35202,6100,13101,31291,15344,3850,1982
"Springfield, MA Metro Area",44140,71306,462815,320931,82460,14884,31933,55400,29482,5420,3787
"Springfield, MO Metro Area",44180,65071,486785,323417,81825,14504,28206,61499,27945,6259,3967
"Springfield, OH Metro Area",44220,63132,135158,93713,28328,5072,9742,11938,5776,672,551
"Starkville, MS Micro Area",44260,48750,61743,33277,7036,1388,3284,7289,4304,668,1610
"State College, PA Metro Area",44300,74291,158576,97777,24713,3424,7629,22159,14177,1969,6890
"Statesboro, GA Micro Area",44340,57446,93440,54256,12426,3120,4719,10066,4296,737,1248
"Staunton-Stuarts Draft, VA Metro Area",44420,73544,126822,92475,28284,5550,7595,16023,7067,1303,1236
"Steamboat Springs, CO Micro Area",44460,95400,38291,28189,5469,1168,2924,7643,2926,1158,363
"Stephenville, TX Micro Area",44500,65115,43794,25895,5739,1408,1980,5250,2288,236,526
"Sterling, CO Micro Area",44540,51829,20892,15104,4056,1579,1652,1937,929,98,75
"Sterling, IL Micro Area",44580,67500,54947,38673,12251,2230,4277,4939,2550,311,110
"Stevens Point-Plover, WI Micro Area",44620,76070,70832,46544,12688,1412,5919,11205,3593,486,557
"Stillwater, OK Micro Area",44660,49809,82972,45211,10455,1901,3311,9805,5026,954,2165
"Stockton-Lodi, CA Metro Area",44700,92179,797334,513773,121274,20020,46666,79428,26768,7130,3555
"Storm Lake, IA Micro Area",44740,71719,20753,13051,3919,354,1459,1918,603,167,213
"Sturgis, MI Micro Area",44780,66425,60969,41475,12960,2489,4248,4494,2012,392,123
"Sulphur Springs, TX Micro Area",44860,70888,37784,25476,7479,1255,1853,3633,1515,231,194
"Summerville, GA Micro Area",44900,50285,25036,17623,4322,1817,1355,1173,760,134,43
"Sumter, SC Metro Area",44940,56693,104725,69673,19895,2748,8108,10191,5263,378,575
"Sunbury, PA Micro Area",44980,62262,108663,79905,31691,4160,7041,11284,4462,1519,787
"Susanville, CA Micro Area",45000,67403,30356,22345,4918,1538,2248,2244,464,137,79
"Sweetwater, TX Micro Area",45020,50747,14454,9458,2421,797,892,1007,414,70,27
"Syracuse, NY Metro Area",45060,75492,656410,451763,99773,22625,57558,88288,51859,10446,7994
"Tahlequah, OK Micro Area",45140,53218,47942,30907,7718,2227,1741,5866,2146,522,484
"Talladega-Sylacauga, AL Micro Area",45180,57722,91321,65970,20032,4221,6015,5795,3531,685,686
"Tallahassee, FL Metro Area",45220,65261,391730,246349,46409,12431,21862,59012,28446,7657,6965
"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,74392,3304691,2407628,550924,103609,240044,527299,223238,56116,34563
"Taos, NM Micro Area",45340,58950,34543,27201,5376,1379,2361,6063,3261,721,437
"Taylorville, IL Micro Area",45380,62611,33538,24493,9776,1256,2409,2964,865,194,175
"Terre Haute, IN Metro Area",45460,56594,168719,113088,33101,8192,12990,16211,6802,998,1856
"Texarkana, TX-AR Metro Area",45500,55646,146296,99561,31581,7194,7565,12561,6081,1117,732
"The Dalles, OR Micro Area",45520,64175,26552,18909,4005,994,2199,2628,936,390,291
"Thomaston, GA Micro Area",45580,55429,28029,19346,5661,1975,1946,1935,735,233,92
"Thomasville, GA Micro Area",45620,60262,71885,48949,13735,2492,5927,6224,2559,668,552
"Tiffin, OH Micro Area",45660,66025,54770,37157,13754,2205,4242,4845,2266,289,252
"Tifton, GA Micro Area",45700,49785,50377,33139,9320,1788,4751,3159,2257,560,318
"Toccoa, GA Micro Area",45740,54754,27012,18632,5762,1786,1070,1732,814,167,107
"Toledo, OH Metro Area",45780,65486,602322,405652,107013,16470,41828,74652,34798,7477,5529
"Topeka, KS Metro Area",45820,69888,232468,159526,42425,7918,13869,29896,13470,2729,1939
"Torrington, CT Micro Area",45860,93551,113216,85120,20887,3011,7655,19064,11138,2243,1064
"Town of Pecos, TX Micro Area",45880,64297,12664,7867,2627,560,301,416,126,8,32
"Traverse City, MI Metro Area",45900,80889,155449,115706,24102,3190,11997,27010,13882,3044,1631
"Trenton-Princeton, NJ Metro Area",45940,100645,385864,261611,56315,6491,15722,63514,38462,7128,9775
"Troy, AL Micro Area",45980,48677,32987,19373,5179,1064,1380,3261,1629,194,344
"Truckee-Grass Valley, CA Micro Area",46020,89882,102481,79518,13070,2169,7705,21323,8170,2351,1192
"Tucson, AZ Metro Area",46060,70315,1060490,730009,126588,27619,66903,151514,80343,18541,18203
"Tullahoma-Manchester, TN Micro Area",46100,62285,66384,45446,14573,3160,3616,5620,2973,571,686
"Tulsa, OK Metro Area",46140,69359,1037534,693200,166864,30221,64487,138988,50675,13825,7867
"Tupelo, MS Micro Area",46180,63170,132254,88239,20037,6586,9954,13187,6147,1367,1034
"Tuscaloosa, AL Metro Area",46220,61517,278526,173080,44838,7735,17195,29204,14122,2626,4682
"Twin Falls, ID Metro Area",46300,68810,118907,76407,18314,3750,9192,10761,3977,797,957
"Tyler, TX Metro Area",46340,74192,241740,160294,33044,7412,17173,30159,11263,2389,2016
"Ukiah, CA Micro Area",46380,68092,90244,65093,15553,2324,6278,9777,4561,1458,577
"Union City, TN Micro Area",46460,54613,30453,21567,8126,1353,1134,2456,1109,180,201
"Urbana, OH Micro Area",46500,75556,38804,27444,10405,1416,2492,3778,1206,193,28
"Urban Honolulu, HI Metro Area",46520,106195,1001146,708001,158416,19254,76435,171424,68017,20616,12262
"Utica-Rome, NY Metro Area",46540,69779,288881,201973,52192,10266,27970,30681,17758,3003,2585
"Utuado, PR Micro Area",46580,20800,27621,20880,4794,790,2769,3672,713,95,107
"Uvalde, TX Micro Area",46620,53801,24881,15561,2777,768,1800,2121,682,163,113
"Valdosta, GA Metro Area",46660,57085,150188,92429,25508,5592,8616,13821,6788,1428,1530
"Vallejo, CA Metro Area",46700,100401,451918,315641,65975,10773,33236,62203,19902,5052,3612
"Van Wert, OH Micro Area",46780,67917,28826,20068,8104,694,2663,2299,908,124,99
"Vermillion, SD Micro Area",46820,56850,15219,7594,1708,356,607,1915,952,180,399
"Vernal, UT Micro Area",46860,73746,37056,22196,6933,1187,2289,2741,834,54,93
"Vernon, TX Micro Area",46900,54102,12616,8754,1974,885,412,1076,293,61,80
"Vicksburg, MS Micro Area",46980,59401,43020,29482,6475,1682,3193,4927,2349,501,701
"Victoria, TX Metro Area",47020,70236,98554,65393,16831,3571,6510,9194,2662,827,407
"Vidalia, GA Micro Area",47080,52500,35742,23246,6516,1842,2277,2630,1294,306,140
"Vincennes, IN Micro Area",47180,61237,36007,24200,7244,1343,3683,2916,1339,212,148
"Vineland, NJ Metro Area",47220,67436,153305,103026,32731,6484,8581,13189,4773,961,580
"Vineyard Haven, MA Micro Area",47240,125786,20933,16542,2362,890,1378,4543,2708,1035,299
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",47260,82330,1787235,1219406,254145,53031,117311,262724,130888,23671,19540
"Visalia, CA Metro Area",47300,71300,478693,287690,69349,10564,25426,31114,12630,2911,1223
